ARRIVED_CALL_SIGN,ARRIVED_SHIP_TYPE,ARRIVED_AGENT_NAME,DUE_LAST_PORT,ARRIVED_ARRIVAL_TIME,DUE_ETA,ARRIVAL_DELAY,DEPARTED_SERVICE_TIME,sigma,ATA,ETA,s
9VJQ2,CONTAINER,SINOTRANS (HK) SHIPPING LTD,HAIPHONG,2025-06-07 02:05:00,2025-06-07 01:00:00,1.0833333333333333,11.866666666666667,2.216666666666667,1.08,0.0,11.87
3E2094,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,"YANTIAN, SHENZHEN",2025-06-07 05:08:00,2025-06-07 01:30:00,3.6333333333333337,12.033333333333331,0.5416666666666666,4.13,0.5,12.03
3FXL2,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,TAICHUNG,2025-06-07 07:34:00,2025-06-07 05:30:00,2.066666666666667,16.333333333333332,2.9899999999999993,6.57,4.5,16.33
V7IQ4,CONTAINER,NAMSUNG SHIPPING HONG KONG LIMITED,HAIPHONG,2025-06-07 09:22:00,2025-06-07 09:00:00,0.3666666666666666,17.633333333333333,0.36666666666666664,8.37,8.0,17.63
9V2003,CONTAINER,SINOTRANS (HK) SHIPPING LTD,"SHANGHAI, SH",2025-06-07 10:49:00,2025-06-07 09:30:00,1.3166666666666669,15.85,0.0,9.82,8.5,15.85
9HA6024,CONTAINER,CMA CGM (HONG KONG) LIMITED,COLOMBO,2025-06-07 11:27:00,2025-06-07 10:00:00,1.45,33.38333333333333,0.14444444444444446,10.45,9.0,33.38
9V9978,CONTAINER,PACIFIC INTERNATIONAL LINES (HK) LTD,"NINGBO, ZJ",2025-06-07 12:00:00,2025-06-07 11:00:00,1.0,2.033333333333333,0.0,11.0,10.0,2.03
XVLV7,CONTAINER,MEGATOP AGENCY LIMITED,"NANSHA, PANYU",2025-06-07 14:49:00,2025-06-07 13:00:00,1.8166666666666669,15.733333333333333,1.5666666666666664,13.82,12.0,15.73
3FXG8,CONTAINER,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,"NANSHA, PANYU",2025-06-07 14:45:00,2025-06-07 13:30:00,1.25,6.333333333333333,1.1812865497076017,13.75,12.5,6.33
CQIP2,CONTAINER,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,SINGAPORE,2025-06-07 15:52:00,2025-06-07 14:30:00,1.3666666666666667,16.133333333333333,1.3240740740740742,14.87,13.5,16.13
D5YU8,CONTAINER,ZIM INTEGRATED SHIPPING AGENCIES (HK) LIMITED,"XIAMEN, FJ",2025-06-07 19:19:00,2025-06-07 16:00:00,3.316666666666667,16.25,7.977777777777778,18.32,15.0,16.25
V7A7428,CONTAINER,T.S. LINES LIMITED,KAOHSIUNG,2025-06-07 18:35:00,2025-06-07 17:30:00,1.0833333333333333,12.366666666666667,5.1537634408602155,17.58,16.5,12.37
TJM5224,CONTAINER,YIU LIAN DOCKYARDS LTD,INCHEON,2025-06-07 19:11:00,2025-06-07 18:00:00,1.1833333333333331,7.733333333333333,11.688888888888888,18.18,17.0,7.73
V3NV,CONTAINER,SK SHIPPING LIMITED,LUMUT,2025-06-07 14:46:00,2025-06-07 18:00:00,-3.2333333333333334,2.4,2.129166666666667,13.77,17.0,2.4
BPBC,CONTAINER,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,OPEN SEA,2025-06-07 09:38:00,2025-06-07 19:00:00,-9.366666666666667,5.316666666666666,1.6552631578947368,8.63,18.0,5.32
S6SS,CONTAINER,PACIFIC INTERNATIONAL LINES (HK) LTD,KOROR,2025-06-07 22:39:00,2025-06-07 20:00:00,2.65,13.266666666666667,2.6150000000000007,21.65,19.0,13.27
3EGD6,CONTAINER,SITC SHIPPING AGENCY (HK) COMPANY LIMITED,"XIAMEN, FJ",2025-06-07 21:53:00,2025-06-07 21:00:00,0.8833333333333333,4.55,0.0,20.88,20.0,4.55
BKLT,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,KAOHSIUNG,2025-06-07 23:44:00,2025-06-07 23:00:00,0.7333333333333333,15.316666666666666,0.9216666666666666,22.73,22.0,15.32
