ARRIVED_CALL_SIGN,ARRIVED_SHIP_TYPE,ARRIVED_AGENT_NAME,DUE_LAST_PORT,ARRIVED_ARRIVAL_TIME,DUE_ETA,ARRIVAL_DELAY,DEPARTED_SERVICE_TIME,sigma,ATA,ETA,s
5BNU6,CONTAINER,SINOTRANS (HK) SHIPPING LTD,"XINGANG, TIANJIN, TJ",2025-03-23 09:30:00,2025-03-23 02:00:00,7.5,21.6,1.8182807807807808,16.7,9.2,21.6
9V8494,CONTAINER,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,KEELUNG,2025-03-23 04:35:00,2025-03-23 03:30:00,1.0833333333333333,10.45,1.2833407279117939,11.78,10.7,10.45
VROX5,CONTAINER,PENAVICO (HONG KONG) LIMITED,SINGAPORE,2025-03-23 05:52:00,2025-03-23 04:30:00,1.3666666666666667,26.1,1.2839392391009496,13.07,11.7,26.1
VROO3,CONTAINER,YANG MING LINE (HONG KONG) LTD,OAKLAND,2025-03-23 07:50:00,2025-03-23 06:00:00,1.8333333333333333,21.55,1.7368532274590165,15.03,13.2,21.55
VRVF2,CONTAINER,SITC SHIPPING AGENCY (HK) COMPANY LIMITED,"SHANGHAI, SH",2025-03-23 07:20:00,2025-03-23 06:00:00,1.3333333333333333,7.733333333333333,1.2209234531267175,14.53,13.2,7.73
3ECW9,CONTAINER,KMTC (HK) CO LIMITED,"SHANGHAI, SH",2025-03-23 08:35:00,2025-03-23 07:00:00,1.5833333333333333,10.916666666666666,1.2209234531267175,15.78,14.2,10.92
VRMN8,CONTAINER,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,"XIAMEN, FJ",2025-03-23 09:18:00,2025-03-23 08:00:00,1.3,7.4,1.3666734732344814,16.5,15.2,7.4
A8UP2,CONTAINER,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,HONG KONG,2025-03-22 17:38:00,2025-03-23 08:00:00,-14.366666666666667,9.433333333333334,17.53369565217392,0.83,15.2,9.43
9V6516,CONTAINER,HYALINE SHIPPING (HK) CO LTD,DAVAO,2025-03-23 13:56:00,2025-03-23 10:30:00,3.433333333333333,14.783333333333331,1.8297101449275361,21.13,17.7,14.78
D5ZX8,CONTAINER,OOCL HONG KONG BRANCH,KOBE,2025-03-23 12:18:00,2025-03-23 11:00:00,1.3,9.616666666666667,0.7955042735042734,19.5,18.2,9.62
V7A5716,CONTAINER,T.S. LINES LIMITED,"NANSHA, PANYU",2025-03-23 12:34:00,2025-03-23 11:30:00,1.0666666666666669,10.316666666666666,1.4381161316973978,19.77,18.7,10.32
DSRD9,CONTAINER,KMTC (HK) CO LIMITED,SAIGON,2025-03-23 14:23:00,2025-03-23 13:00:00,1.3833333333333333,14.633333333333333,1.811200716845878,21.58,20.2,14.63
3FCN3,CONTAINER,T.S. LINES LIMITED,"SHEKOU, SHENZHEN",2025-03-23 15:54:00,2025-03-23 14:30:00,1.4,21.116666666666667,5.240240592730142,23.1,21.7,21.12
9V2332,CONTAINER,SINOTRANS (HK) SHIPPING LTD,OPEN SEA,2025-03-22 16:48:00,2025-03-23 15:00:00,-22.2,14.566666666666666,16.874476439790588,0.0,22.2,14.57
V7A7461,CONTAINER,T.S. LINES LIMITED,"NANSHA, PANYU",2025-03-23 16:26:00,2025-03-23 15:30:00,0.9333333333333332,10.966666666666669,1.4381161316973978,23.63,22.7,10.97
9WTX5,CONTAINER,HARBOUR-LINK LINES LIMITED ,MUARA,2025-03-23 18:29:00,2025-03-23 17:30:00,0.9833333333333332,19.45,2.0416666666666665,25.68,24.7,19.45
3E5351,CONTAINER,PENAVICO (HONG KONG) LIMITED,DANANG,2025-03-23 23:22:00,2025-03-23 22:00:00,1.3666666666666667,13.45,1.9217030519046563,30.57,29.2,13.45
9V6500,CONTAINER,HYALINE SHIPPING (HK) CO LTD,KAOHSIUNG,2025-03-23 23:52:00,2025-03-23 22:30:00,1.3666666666666667,9.8,1.5949786147521332,31.07,29.7,9.8
9VJQ2,CONTAINER,SINOTRANS (HK) SHIPPING LTD,"SHANGHAI, SH",2025-03-24 00:10:00,2025-03-23 23:00:00,1.1666666666666667,10.9,1.2209234531267175,31.37,30.2,10.9
