ARRIVED_CALL_SIGN,ARRIVED_SHIP_TYPE,ARRIVED_AGENT_NAME,DUE_LAST_PORT,ARRIVED_ARRIVAL_TIME,DUE_ETA,ARRIVAL_DELAY,DEPARTED_SERVICE_TIME,sigma,pred_delay,ATA,ETA,PTA,s
D7EW,CONTAINER,HMM (HONG KONG) LIMITED,VALPARAISO,2025-01-06 02:23:00,2025-01-06 01:00:00,1.3833333333333333,30.466666666666665,3.3895833333333334,2.15,12.87,11.48,13.63,30.47
A8EG9,CONTAINER,SINOTRANS (HK) SHIPPING LTD,QINGDAO,2025-01-06 07:09:00,2025-01-06 06:00:00,1.15,22.833333333333332,10.058333333333334,1.4833333333333334,17.63,16.48,17.96,22.83
CQMP,CONTAINER,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,"SHANGHAI, SH",2025-01-06 10:14:00,2025-01-06 08:00:00,2.2333333333333334,12.183333333333334,5.720833333333334,1.2666666666666666,20.72,18.48,19.75,12.18
VRFO6,CONTAINER,OCEANLINKS MARINE LIMITED,"XIAMEN, FJ",2025-01-06 10:14:00,2025-01-06 09:00:00,1.2333333333333334,8.7,0.7006535947712417,1.05,20.72,19.48,20.53,8.7
A8WZ8,CONTAINER,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,"YANTIAN, SHENZHEN",2025-01-06 12:22:00,2025-01-06 11:00:00,1.3666666666666667,9.616666666666667,11.191666666666666,1.15,22.85,21.48,22.63,9.62
5LCT7,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,"SHEKOU, SHENZHEN",2025-01-06 13:47:00,2025-01-06 11:30:00,2.283333333333333,13.2,1.2796875,1.55,24.27,21.98,23.53,13.2
9HA5839,CONTAINER,CMA CGM ASIA SHIPPING PTE. LTD.,"LIANYUNGANG, JS",2025-01-05 13:31:00,2025-01-06 12:00:00,-22.483333333333334,7.433333333333334,6.415972222222223,1.5333333333333334,0.0,22.48,24.01,7.43
3ELY7,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,OPEN SEA,2025-01-05 22:16:00,2025-01-06 13:00:00,-14.733333333333333,8.7,1.6296875,1.2833333333333334,8.75,23.48,24.76,8.7
V7A6031,CONTAINER,T.S. LINES LIMITED,"SHEKOU, SHENZHEN",2025-01-06 14:59:00,2025-01-06 13:30:00,1.4833333333333334,13.15,0.8184782608695652,1.65,25.47,23.98,25.63,13.15
VRLT8,CONTAINER,OOCL HONG KONG BRANCH,"NANSHA, PANYU",2025-01-06 16:24:00,2025-01-06 15:00:00,1.4,17.183333333333334,7.769444444444446,1.4333333333333331,26.88,25.48,26.91,17.18
3E3347,CONTAINER,OOCL HONG KONG BRANCH,KEELUNG,2025-01-06 17:05:00,2025-01-06 16:00:00,1.0833333333333333,10.616666666666667,1.0703703703703706,1.2333333333333334,27.57,26.48,27.71,10.62
V7FQ3,CONTAINER,SINOTRANS (HK) SHIPPING LTD,"NANSHA, PANYU",2025-01-06 18:11:00,2025-01-06 17:00:00,1.1833333333333331,17.683333333333334,2.208333333333333,1.3833333333333333,28.67,27.48,28.86,17.68
A8SW4,CONTAINER,OOCL HONG KONG BRANCH,QINGDAO,2025-01-06 19:30:00,2025-01-06 18:00:00,1.5,11.816666666666666,7.126190476190477,1.3166666666666669,29.98,28.48,29.8,11.82
V7A2845,CONTAINER,NAMSUNG SHIPPING HONG KONG LIMITED,INCHEON,2025-01-06 19:30:00,2025-01-06 22:00:00,-2.5,12.383333333333333,1.8028368794326242,1.1166666666666667,29.98,32.48,33.6,12.38
9V7282,CONTAINER,REGIONAL CONTAINER LINES (HK) LTD,SINGAPORE,2025-01-06 23:54:00,2025-01-06 22:00:00,1.9,18.583333333333332,6.317460317460318,1.2833333333333334,34.38,32.48,33.76,18.58
3ERG5,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,SINGAPORE,2025-01-07 00:29:00,2025-01-06 22:00:00,2.4833333333333334,14.05,0.5533333333333335,2.1333333333333333,34.97,32.48,34.61,14.05
