ARRIVED_CALL_SIGN,ARRIVED_SHIP_TYPE,ARRIVED_AGENT_NAME,DUE_LAST_PORT,ARRIVED_ARRIVAL_TIME,DUE_ETA,ARRIVAL_DELAY,DEPARTED_SERVICE_TIME,sigma,pred_delay,ATA,ETA,PTA,s
VRLG3,CONTAINER,SITC SHIPPING AGENCY (HK) COMPANY LIMITED,"SHANGHAI, SH",2025-05-31 01:34:00,2025-05-31 00:30:00,1.0666666666666669,8.833333333333334,1.3114114114114122,1.1166666666666667,13.73,12.67,13.79,8.83
V7A7461,CONTAINER,T.S. LINES LIMITED,KAOHSIUNG,2025-05-31 03:15:00,2025-05-31 01:00:00,2.25,10.25,1.2265950920245392,1.6666666666666667,15.42,13.17,14.84,10.25
VRSC2,CONTAINER,SITC SHIPPING AGENCY (HK) COMPANY LIMITED,HAIPHONG,2025-05-31 02:55:00,2025-05-31 01:30:00,1.4166666666666667,12.083333333333334,1.4293467819404422,1.05,15.08,13.67,14.72,12.08
VRNR5,CONTAINER,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,"XIAMEN, FJ",2025-05-31 07:33:00,2025-05-31 05:00:00,2.55,9.15,1.2064228007698605,0.7154719235364397,19.72,17.17,17.89,9.15
V7A5455,CONTAINER,SINOKOR HONGKONG CO LIMITED,ULSAN,2025-05-31 06:57:00,2025-05-31 06:00:00,0.95,11.983333333333333,2.153568797232358,1.2833333333333332,19.12,18.17,19.45,11.98
3FZP8,CONTAINER,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,"SHANTOU, GD",2025-05-31 07:45:00,2025-05-31 06:30:00,1.25,6.2,1.311181434599156,0.3666666666666667,19.92,18.67,19.04,6.2
S6AV3,CONTAINER,PENAVICO (HONG KONG) LIMITED,KAOHSIUNG,2025-05-31 08:22:00,2025-05-31 07:00:00,1.3666666666666667,18.583333333333332,1.2265950920245392,2.3727836879432624,20.53,19.17,21.54,18.58
VRIZ9,CONTAINER,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,HONG KONG,2025-05-30 11:50:00,2025-05-31 11:00:00,-23.166666666666668,11.433333333333334,18.6412037037037,0.0,0.0,23.17,23.17,11.43
5LAQ7,CONTAINER,SINOTRANS (HK) SHIPPING LTD,"NINGBO, ZJ",2025-05-31 14:44:00,2025-05-31 13:30:00,1.2333333333333334,14.3,1.283084981644597,1.5234444093493367,26.9,25.67,27.19,14.3
VRCY6,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,"NINGBO, ZJ",2025-05-31 15:36:00,2025-05-31 14:00:00,1.6,15.2,1.283084981644597,1.6207754264055592,27.77,26.17,27.79,15.2
VRWF4,CONTAINER,BEN LINE AGENCIES (HK) LTD,"XIAMEN, FJ",2025-05-31 18:41:00,2025-05-31 16:30:00,2.183333333333333,6.783333333333333,1.2064228007698605,1.1833333333333331,30.85,28.67,29.85,6.78
BOAM7,CONTAINER,PENAVICO (HONG KONG) LIMITED,"QINZHOU, GX",2025-05-31 16:31:00,2025-05-31 16:30:00,0.0166666666666666,9.383333333333333,1.2788990825688074,2.6333333333333333,28.68,28.67,31.3,9.38
V7A5641,CONTAINER,CMA CGM ASIA SHIPPING PTE. LTD.,"SHEKOU, SHENZHEN",2025-05-30 18:57:00,2025-05-31 18:30:00,-23.55,8.083333333333334,3.1495600980309755,1.3656901707001754,7.12,30.67,32.04,8.08
VRMK9,CONTAINER,SINOTRANS (HK) SHIPPING LTD,"SHEKOU, SHENZHEN",2025-05-30 23:10:00,2025-05-31 18:30:00,-19.333333333333332,5.75,3.1495600980309755,0.5630443318491649,11.33,30.67,31.23,5.75
9V7978,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,"YANTIAN, SHENZHEN",2025-05-31 19:23:00,2025-05-31 19:00:00,0.3833333333333333,15.616666666666667,1.2358336550691422,1.5666666666666669,31.55,31.17,32.74,15.62
V7A5992,CONTAINER,SINOKOR HONGKONG CO LIMITED,"NANSHA, PANYU",2025-05-31 22:46:00,2025-05-31 19:00:00,3.7666666666666666,12.2,1.2430534032810823,2.2813272298581375,34.93,31.17,33.45,12.2
9V7801,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,"NINGBO, ZJ",2025-05-31 22:35:00,2025-05-31 21:30:00,1.0833333333333333,8.866666666666667,1.283084981644597,1.25,34.75,33.67,34.92,8.87
H3GB,CONTAINER,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,"NANSHA, PANYU",2025-05-31 23:42:00,2025-05-31 22:30:00,1.2,9.966666666666669,1.2430534032810823,1.0833333333333333,35.87,34.67,35.75,9.97
